Policy,Category,Indicator,Unit,rank,score
H6_Facial Coverings,Demographics,Secure Internet servers ,per 1 million people,52,0.00975392900855099
H6_Facial Coverings,Environment,Electricity production from coal sources ,percent of total,53,0.009638373416179607
H6_Facial Coverings,Environment,Combustible renewables and waste,percent of total energy,54,0.00962553777862441
H6_Facial Coverings,Health,Prevalence of Depressive disorders,percent,55,0.009564520474299685
H6_Facial Coverings,Health,Prevalence of anxiety disorders,percent,56,0.00951534061149694
H6_Facial Coverings,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,57,0.009437313228793964
H6_Facial Coverings,Health,Prevalence of obesity,percent,58,0.00930135582110122
H6_Facial Coverings,Health,Prevalence of total cancers,percent,59,0.009221454280843306
H6_Facial Coverings,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,60,0.009104676546471556
H6_Facial Coverings,Health,Prevalence of chronic kidney disease,percent,61,0.008991203643955075
H6_Facial Coverings,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,62,0.008937777010172256
H6_Facial Coverings,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",63,0.008929336613264232
H6_Facial Coverings,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,64,0.00884012901615864
H6_Facial Coverings,Social issues ,Gini index (World Bank estimate),index ,65,0.008778936704762694
H6_Facial Coverings,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",66,0.00874210872324419
H6_Facial Coverings,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),67,0.008705874218960543
H6_Facial Coverings,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,68,0.00864022107828235
H6_Facial Coverings,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,69,0.008574046809299499
H6_Facial Coverings,Social issues ,Progression to secondary school (%),proportion,70,0.008481984078609674
H6_Facial Coverings,Social issues ,Coverage of social safety net programs (% of population),proportion,71,0.008460472311588434
H6_Facial Coverings,Demographics,Age dependency ratio,percent of total population,72,0.008400344020079976
H6_Facial Coverings,Health,"Physicians (per 1,000 people)",Ones,73,0.008383178342105146
H6_Facial Coverings,Economics,Stock market capitalization (US$ million),percent,74,0.008130698659645585
H6_Facial Coverings,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,75,0.008087552398746053
H6_Facial Coverings,Demographics,Fixed telephone (per 100 people),per 100 population,76,0.00804481316966794
H6_Facial Coverings,Demographics,Fixed telephone subscriptions,number,77,0.00803406368261063
H6_Facial Coverings,Demographics,Individuals using the Internet,percent of population,78,0.007901425512510022
H6_Facial Coverings,Demographics,Internet users (per 100 people),per 100 population,79,0.00765668041662135
H6_Facial Coverings,Demographics,Mobile cellular (per 100 people),per 100 population,80,0.007424447630330001
H6_Facial Coverings,Demographics,Mobile cellular subscriptions,number,81,0.007259671494936257
H6_Facial Coverings,Demographics,"Net migration rate, per 1000 population",per thousand persons,82,0.007066566888938864
H6_Facial Coverings,Demographics,Refugee population by country or territory of asylum,proportion,83,0.006990795608107224
H6_Facial Coverings,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,84,0.006746272440993001
H6_Facial Coverings,Economics,Growth rates of household expenditure or income per capita (%),percent,85,0.006701775449805672
H6_Facial Coverings,Economics,"Lending interest rates, percent per annum",percent per annum,86,0.0061404994060411085
H6_Facial Coverings,Economics,Stock market capitalization (US$ million),US Dollar,87,0.00581875197169138
H6_Facial Coverings,Economics,"Trade, total as % of GDP",percent,88,0.005804855099106426
H6_Facial Coverings,Health,"Nurses and midwives (per 1,000 people)",Ones,89,0.005030275477837125
H6_Facial Coverings,Economics,Unemployment rate (%) - Annual,percent,90,0.0049363040094907405
H6_Facial Coverings,Environment,Access to electricity ,percent of population,91,0.004592919392852739
H6_Facial Coverings,Environment,CO2 emissions (kt),kt,92,0.004149245765097288
H6_Facial Coverings,Environment,CO2 emissions (metric tons per capita),metric tons per capita,93,0.004139281189086169
H6_Facial Coverings,Environment,Electricity production from oil sources,percent of total,94,0.004109554281214711
H6_Facial Coverings,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,95,0.0031325742138920373
H6_Facial Coverings,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,96,0.0030124514523837244
H6_Facial Coverings,Governance,Control of corruption estimate,score,97,0.002782668652982222
H6_Facial Coverings,Governance,Economic Freedom Score (Index),score,98,0.0025679726773603514
H6_Facial Coverings,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",99,0.002435223634225497
H6_Facial Coverings,Health,Hospital beds (per 10 000 population),Ones,100,0.0020230817847283187
H6_Facial Coverings,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,101,0.0011173804141931774
H6_Facial Coverings,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",102,0.0005469713133133602
H6_Facial Coverings,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,103,0.0
H7_Vaccination policy,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,1,0.0183332947374491
H7_Vaccination policy,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,2,0.017715896815439724
H7_Vaccination policy,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,3,0.017641299330271087
H7_Vaccination policy,Governance,Serious assault (rate),rate,4,0.017609921054082482
H7_Vaccination policy,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,5,0.017058610555420826
H7_Vaccination policy,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,6,0.016932914822544592
H7_Vaccination policy,Health,Hospital beds (per 10 000 population),Ones,7,0.015585445761833551
H7_Vaccination policy,Social issues ,Proportion of women in managerial positions (%),percent,8,0.015448202829154304
H7_Vaccination policy,Demographics,Rural population (% of total population),proportion,9,0.0154353712941379
H7_Vaccination policy,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,10,0.015109204074757927
H7_Vaccination policy,Environment,Renewable energy consumption ,percent of total final energy consumption,11,0.014978988798653553
H7_Vaccination policy,Environment,"Electricity production from oil, gas and coal sources",percent of total,12,0.014884758787937689
H7_Vaccination policy,Health,Prevalence of chronic kidney disease,percent,13,0.014845032538033489
H7_Vaccination policy,Health,Prevalence of anxiety disorders,percent,14,0.014227957611068627
H7_Vaccination policy,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,15,0.014222383483759734
H7_Vaccination policy,Environment,Electricity production from nuclear sources ,percent of total,16,0.013279808290600574
H7_Vaccination policy,Economics,Expenditure on education (% of GDP),percent,17,0.013277557630960918
H7_Vaccination policy,Health,Prevalence of down syndrome,percent,18,0.013242717128617488
H7_Vaccination policy,Health,Prevalence of Hypertensive heart disease,percent,19,0.01297524882024763
H7_Vaccination policy,Economics,"Central government debt, total",percent of GDP,20,0.01288787964245847
H7_Vaccination policy,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,21,0.012709313620400566
H7_Vaccination policy,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,22,0.012676351969934262
H7_Vaccination policy,Demographics,Fixed broadband subscriptions,number,23,0.012589497595838368
H7_Vaccination policy,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",24,0.012585886732577134
H7_Vaccination policy,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,25,0.012460296279089114
H7_Vaccination policy,Environment,"Energy imports, net ",percent of energy use,26,0.012362257139438986
H7_Vaccination policy,Economics,Expenditure on social protection (% of GDP),percent,27,0.01234788182120075
H7_Vaccination policy,Demographics,Fixed telephone subscriptions,number,28,0.012183731871128008
H7_Vaccination policy,Health,Prevalence of Depressive disorders,percent,29,0.012171540125200024
H7_Vaccination policy,Demographics,Refugee population by country or territory of asylum,proportion,30,0.0120759793661753
H7_Vaccination policy,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,31,0.012036672183377862
H7_Vaccination policy,Social issues ,Progression to secondary school (%),proportion,32,0.011926423113738123
H7_Vaccination policy,Economics,Growth rates of household expenditure or income per capita (%),percent,33,0.01192593313138263
H7_Vaccination policy,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,34,0.011921345037489553
H7_Vaccination policy,Demographics,Individuals using the Internet,percent of population,35,0.01182306384008007
H7_Vaccination policy,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,36,0.011814955306566465
H7_Vaccination policy,Social issues ,Press freedom score,score,37,0.011760503431299573
H7_Vaccination policy,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,38,0.011744519001299527
